V1,travel,sleep,work_act,household_combine,Leisure_Combine,Others,work_per_week,wage,year,education,sex,metropolitan,age,partner,child_num
7,60,445,495,0,330,110,40,8.3125,2003,40,2,-1,21,3,1
9,175,180,266,222,522,75,40,11.25,2003,41,2,-1,39,1,4
10,61,515,669,0,135,60,57,11.4035087719,2003,40,1,-1,26,1,1
14,75,570,465,122,163,45,35,2.74714285714,2003,43,2,-1,32,1,1
15,0,630,45,495,240,30,51,14.517254902,2003,44,2,-1,45,1,2
17,120,530,65,60,70,595,57,7.01754385965,2003,44,2,-1,28,3,0
22,63,512,657,0,175,33,50,9,2003,39,1,-1,23,2,0
24,87,495,469,85,196,108,40,14.4,2003,39,2,-1,25,3,1
29,145,545,540,60,90,60,45,64.1024444444,2003,43,1,-1,27,3,0
31,30,570,410,125,290,15,40,6.25,2003,40,2,-1,42,3,2
32,30,855,135,120,270,30,55,38.4614545455,2003,43,1,-1,46,1,1
36,102,515,515,0,253,55,40,22,2003,37,1,-1,39,3,1
37,140,420,260,25,395,200,47,20,2003,42,2,-1,43,3,0
38,85,410,490,160,195,100,50,23.0768,2003,43,1,-1,37,1,2
39,150,390,90,450,255,105,40,10,2003,40,1,-1,45,3,0
41,95,493,480,23,300,49,40,10,2003,43,1,-1,47,1,0
53,40,580,465,20,250,85,40,21,2003,40,1,-1,47,3,0
58,40,420,610,185,135,50,40,14.9,2003,43,2,-1,34,1,2
60,124,380,491,190,75,180,40,7.75,2003,39,2,-1,46,1,1
63,110,385,840,60,20,25,60,48.0768333333,2003,43,1,-1,45,1,2
65,75,435,605,60,230,35,40,9.075,2003,43,1,-1,54,1,0
75,100,450,575,11,274,30,45,19.658,2003,42,1,-1,52,1,0
80,20,540,515,30,290,45,40,23,2003,40,1,-1,46,1,2
83,107,450,465,0,313,105,40,23.5575,2003,45,1,-1,42,3,0
85,190,365,590,5,255,35,50,30.7692,2003,39,1,-1,39,1,3
87,74,387,285,497,65,132,40,10.096,2003,43,2,-1,38,3,2
92,53,432,540,115,210,90,40,17.3075,2003,43,1,-1,29,1,1
94,20,515,45,500,355,5,55,9.44054545455,2003,43,2,-1,32,1,2
95,80,410,592,83,265,10,60,15.064,2003,46,1,-1,65,1,1
96,41,480,487,179,238,15,45,10.8444444444,2003,39,2,-1,36,1,2
101,102,445,458,72,304,59,38,11.5,2003,40,2,-1,61,3,1
102,0,470,240,400,300,30,40,8.65375,2003,41,2,-1,46,1,2
104,165,330,565,0,330,50,40,61.77,2003,44,2,-1,56,1,0
116,87,540,413,5,175,220,43,23.52,2003,43,2,-1,36,3,1
117,80,375,525,215,105,140,45,15.5555555556,2003,42,2,-1,51,2,1
122,120,431,150,420,274,45,35,49.8337142857,2003,44,2,-1,57,1,0
125,105,280,440,180,285,150,40,15,2003,39,1,-1,28,2,0
126,72,214,740,108,221,85,112,7.38321428571,2003,43,2,-1,36,3,0
128,71,480,460,27,357,45,40,13.7,2003,41,1,-1,46,1,1
137,55,510,509,31,315,20,40,16.7,2003,40,1,-1,39,1,3
139,20,540,465,50,320,45,40,15.575,2003,39,2,-1,48,3,0
149,50,300,503,0,492,95,45,22.2222222222,2003,46,1,-1,34,3,0
153,40,210,480,0,650,60,40,13.75,2003,39,1,-1,56,1,0
156,103,390,380,110,337,120,35,21.978,2003,43,1,-1,30,1,1
157,130,390,460,45,320,95,40,21.625,2003,43,1,-1,42,1,2
158,217,480,438,30,245,30,35,17.1428571429,2003,39,1,-1,38,1,3
167,141,440,474,145,180,60,45,11.1111111111,2003,40,2,-1,43,3,1
171,70,435,565,75,250,45,60,13.846,2003,43,2,-1,39,1,2
177,150,595,450,0,225,20,37,11.75,2003,37,1,-1,68,1,0
180,20,520,715,0,125,60,40,26.25,2003,43,2,-1,39,1,0
181,80,560,535,0,250,15,50,16.8,2003,40,1,-1,29,1,3
183,62,510,503,120,185,60,45,12.3075555556,2003,46,1,-1,47,3,2
184,57,510,487,181,195,10,40,5.625,2003,43,2,-1,45,1,2
186,60,495,495,90,270,30,45,16.4622222222,2003,39,1,-1,40,1,0
194,17,308,725,10,300,80,36,28.7,2003,43,2,-1,43,1,0
195,45,350,470,75,480,20,40,11.85,2003,35,1,-1,66,3,0
196,9,535,829,0,35,32,60,5.34416666667,2003,39,1,-1,40,3,0
198,55,470,555,15,75,270,48,30.3685416667,2003,43,1,-1,52,3,0
201,63,210,551,195,326,95,45,64.1024444444,2003,45,1,-1,38,1,1
202,95,300,570,0,425,50,40,13.044,2003,42,1,-1,47,1,0
211,130,464,480,71,190,105,40,14,2003,40,2,-1,41,1,2
212,60,510,435,55,300,80,40,72.11525,2003,40,2,-1,52,3,0
214,180,480,480,60,180,60,40,17.78825,2003,44,2,-1,53,3,0
215,45,400,485,165,225,120,40,13,2003,39,2,-1,65,1,0
218,68,285,360,197,475,55,40,18.75,2003,44,1,-1,38,1,1
220,70,465,570,59,231,45,50,32.6922,2003,43,1,-1,58,1,0
221,79,420,491,55,335,60,40,3.5,2003,35,2,-1,67,3,0
222,73,396,572,70,278,51,62,31.0172580645,2003,44,2,-1,34,1,1
223,30,570,575,71,174,20,40,10.375,2003,39,2,-1,24,1,1
230,185,485,550,0,205,15,85,14.1176470588,2003,39,1,-1,31,1,2
235,70,510,475,0,315,70,40,12.98075,2003,39,1,-1,26,3,0
236,67,495,485,85,305,3,40,11,2003,38,1,-1,28,3,1
239,243,420,263,22,207,285,40,8,2003,40,2,-1,29,2,1
252,55,290,515,140,375,65,40,25,2003,38,1,-1,42,1,4
261,120,480,620,115,85,20,40,20,2003,43,2,-1,55,3,0
264,35,570,110,160,550,15,40,22.5,2003,43,1,-1,49,1,1
270,75,435,595,10,215,110,40,18,2003,33,1,-1,51,1,1
273,135,405,475,0,325,100,40,18.75,2003,44,1,-1,49,1,1
275,110,450,390,165,175,150,40,18.125,2003,44,2,-1,48,3,0
277,30,570,120,250,290,180,60,17.6281666667,2003,42,2,-1,51,3,0
286,125,300,435,30,440,110,60,12.8205,2003,43,1,-1,34,1,1
293,90,630,420,30,210,60,38,10.5263157895,2003,43,2,-1,71,3,2
296,135,540,210,20,495,40,40,12.40375,2003,40,2,-1,34,3,1
297,40,545,515,0,340,0,40,9.8075,2003,39,2,-1,31,3,0
299,104,450,496,40,190,160,45,13.4613333333,2003,43,1,-1,43,1,2
301,80,420,614,240,80,6,55,17.2727272727,2003,35,1,-1,32,1,1
302,50,375,475,45,360,135,41,21.5758536585,2003,44,2,-1,50,3,0
308,55,475,150,476,274,10,36,9.66666666667,2003,39,2,-1,38,3,2
309,51,520,480,100,164,125,40,14.8345,2003,40,2,-1,30,3,0
310,175,465,470,239,81,10,40,5.15,2003,37,2,-1,42,3,1
311,30,495,495,60,270,90,40,9.1345,2003,38,2,-1,36,3,0
315,86,450,477,60,220,147,40,19.23075,2003,40,2,-1,55,3,0
316,165,620,580,0,20,55,70,6.5,2003,39,1,-1,31,2,3
318,90,405,440,180,255,70,37,43.6589189189,2003,44,1,-1,37,1,2
323,100,480,510,100,205,45,40,37.5,2003,40,1,-1,35,3,2
324,20,420,490,240,180,90,40,14,2003,43,2,-1,42,3,2
329,150,390,600,17,253,30,45,15.3333333333,2003,39,1,-1,38,1,2
330,67,240,563,240,285,45,45,11.7333333333,2003,39,1,-1,34,1,1
334,50,655,470,60,145,60,45,9.77777777778,2003,38,1,-1,32,1,1
337,56,395,550,15,375,49,55,15.7341818182,2003,39,1,-1,45,1,0
342,225,330,290,55,475,65,45,15.5555555556,2003,43,1,-1,25,3,0
343,20,584,588,7,210,31,45,23.0768888889,2003,44,1,-1,46,1,0
344,35,405,465,0,380,155,40,21.6345,2003,41,2,-1,33,1,1
346,130,285,620,105,150,150,50,13.46,2003,46,2,-1,55,3,0
352,60,390,840,120,15,15,60,31.4101666667,2003,41,1,-1,30,3,0
354,27,386,867,55,95,10,65,13.3135384615,2003,39,1,-1,48,1,1
364,205,450,385,195,105,100,40,36,2003,42,1,-1,31,2,4
365,60,450,540,150,0,240,40,14.2,2003,39,2,-1,42,1,1
374,90,405,583,152,180,30,45,23.0768888889,2003,43,1,-1,56,1,2
378,150,450,460,60,155,165,47,17.0127659574,2003,42,1,-1,40,1,2
379,78,565,285,167,270,75,72,8.08333333333,2003,39,2,-1,54,1,1
381,76,600,458,1,275,30,40,6.175,2003,39,1,-1,19,3,1
382,35,705,580,0,120,0,40,13,2003,40,2,-1,44,3,0
388,90,465,260,340,175,110,40,8,2003,34,2,-1,35,1,2
389,70,525,625,10,195,15,50,15.25,2003,39,1,-1,34,1,1
392,60,600,415,130,190,45,40,9.5,2003,41,2,-1,26,1,2
393,155,365,475,147,253,45,40,22.5,2003,41,1,-1,54,3,0
395,45,510,535,75,215,60,45,8.88888888889,2003,40,2,-1,23,2,0
397,135,390,480,90,180,165,40,32.25,2003,42,1,-1,50,3,0
398,25,750,10,205,359,91,50,30.7692,2003,43,2,-1,29,3,0
404,100,420,415,105,342,58,40,25,2003,44,2,-1,27,1,0
405,60,495,560,110,165,50,45,26.9228888889,2003,43,2,-1,43,1,1
408,123,480,20,225,535,57,40,25,2003,44,1,-1,38,1,2
409,110,510,120,0,610,90,50,26.923,2003,44,1,-1,29,1,0
410,77,390,515,203,73,182,40,9.5,2003,39,2,-1,35,1,3
412,147,503,400,95,150,145,37,31.1848648649,2003,44,1,-1,44,1,2
416,4,480,516,0,410,30,40,20,2003,40,1,-1,34,1,2
417,150,450,395,0,55,390,35,39,2003,40,1,-1,52,2,1
422,70,450,485,135,205,95,40,8,2003,39,2,-1,39,1,2
425,0,450,795,90,105,0,92,10.0333695652,2003,43,1,-1,28,1,1
427,81,377,652,0,280,50,55,17.4272727273,2003,40,1,-1,60,1,0
430,60,420,545,300,45,70,40,9.5,2003,39,1,-1,24,2,2
431,30,570,75,465,270,30,47,3.92787234043,2003,40,2,-1,52,1,0
432,98,360,487,70,310,115,40,12,2003,37,1,-1,30,1,1
434,82,510,500,50,198,100,56,15.0885714286,2003,40,1,-1,31,3,0
438,2,840,328,0,240,30,40,10,2003,36,2,-1,56,3,0
439,78,507,555,165,60,75,40,22.1,2003,43,2,-1,38,1,3
443,33,450,510,102,255,90,40,7.2115,2003,39,2,-1,43,1,1
446,40,425,728,182,50,15,50,42.3076,2003,45,1,-1,37,1,1
450,23,547,493,69,210,98,35,6.5,2003,39,2,-1,57,1,0
452,540,390,420,0,30,60,40,23.5575,2003,42,1,-1,50,1,1
453,75,495,475,10,280,105,45,34.188,2003,44,2,-1,52,1,0
458,90,410,595,20,270,55,50,17.5,2003,41,1,-1,58,1,0
461,40,610,120,195,425,50,55,13.2865454545,2003,39,1,-1,41,1,1
462,30,435,90,390,390,105,60,17.8108333333,2003,43,1,-1,48,1,1
465,54,440,448,235,78,185,47,38.2978723404,2003,43,2,-1,36,1,2
467,65,765,405,0,45,160,72,7.74569444444,2003,40,2,-1,48,3,0
471,143,480,195,226,275,121,56,17.8571428571,2003,44,2,-1,31,1,3
472,55,445,790,0,85,65,65,16.2721538462,2003,43,2,-1,36,3,0
482,71,420,560,199,115,75,40,17,2003,40,2,-1,57,3,0
483,105,220,550,85,385,95,47,12.274893617,2003,39,1,-1,36,1,2
484,39,455,541,180,120,105,40,25,2003,43,2,-1,31,1,1
490,30,450,480,0,420,60,40,25.9615,2003,39,1,-1,41,1,0
494,40,530,440,170,170,90,40,26.44225,2003,43,2,-1,64,1,0
496,95,455,525,200,105,60,45,36.752,2003,44,1,-1,43,1,1
501,105,500,465,0,235,135,50,11.5384,2003,40,1,-1,41,1,3
502,8,667,480,10,275,0,40,8,2003,40,2,-1,31,2,0
509,75,245,690,10,295,125,60,9.66666666667,2003,40,1,-1,41,3,0
511,252,270,20,205,125,568,40,6,2003,41,2,-1,43,1,1
513,43,333,455,60,432,117,40,9.1875,2003,37,1,-1,24,3,0
515,50,510,435,40,375,30,46,6.19565217391,2003,39,1,-1,25,1,2
520,40,480,495,15,385,25,40,12,2003,38,1,-1,39,1,0
523,55,510,510,70,55,240,40,41.6665,2003,46,2,-1,49,3,0
525,30,660,120,120,480,30,45,16.6666666667,2003,43,1,-1,25,3,0
526,172,493,452,13,240,70,40,10,2003,39,1,-1,33,3,0
539,74,45,270,247,359,445,40,17.56,2003,39,1,-1,49,1,1
540,140,525,745,0,10,20,40,12.5,2003,41,1,-1,35,3,2
542,200,410,800,0,0,30,70,17.1428571429,2003,41,1,-1,43,1,1
543,131,540,510,119,95,45,40,38.4615,2003,43,2,-1,39,1,1
549,0,630,370,105,300,35,36,2.75555555556,2003,39,2,-1,44,3,0
550,25,630,365,0,420,0,35,18.2857142857,2003,40,2,-1,23,1,1
563,25,450,365,255,295,50,40,17.5,2003,39,1,-1,52,1,0
564,28,405,680,87,190,50,55,16.3636363636,2003,43,2,-1,29,1,1
